,Title,Corrected_Title
47,Responding to Emergency Situations,Responding to Emergency Situations
48,Development News in Sandia Heights,Development News in Sandia Heights
49,Don’t Feed The Bears,Don’t Feed the Bears
50,Architectural Control Committee,Architectural Control Committee
51,Update on PNM's Rate Hike Request,Update on PNM's Rate Hike Request
52,Covenant Support Committee,Covenant Support Committee
53,Contractor Evaluations,Contractor Evaluations
54,Drag Racing a Safety Concern for Sandia Heights,Drag Racing a Safety Concern for Sandia Heights
55,Pedestrian Safety Reminders,Pedestrian Safety Reminders
56,Covenant Support Committee,Covenant Support Committee
57,Renters and Membership Benefits,Renters and Membership Benefits
58,SHHA's Recent 3-Month Tree Removal Program a Success,SHHA's Recent 3-Month Tree Removal Program a Success
59,Don't Let Your Water Pipes Freeze!,Don't Let Your Water Pipes Freeze!
60,Pedestrian Safety Reminders,Pedestrian Safety Reminders
61,Trash and Recycle Bins,Trash and Recycle Bins
62,Preliminary and Final Design and Construction Plans,Preliminary and Final Design and Construction Plans
63,Snow Removal,Snow Removal
64,Mhoon Property R-2 Zone Change Filed,Mhoon Property R-2 Zone Change Filed
65,Bernalillo County Ordinance Regarding Animals,Bernalillo County Ordinance Regarding Animals
66,Parks & Safety Committee,Parks & Safety Committee
67,Holiday Security Tips,Holiday Security Tips
68,Snow Removal,Snow Removal
69,SHHA Homeowner Members can Log onto the SHHA Website,SHHA Homeowner Members Can Log Onto the SHHA Website
70,Covenant Violation,Covenant Violation
71,Sandia Heights Recyling Update,Sandia Heights Recycling Update
72,What to do with that Christmas tree?,What to Do with That Christmas Tree?
73,SHHA wants your thoughts on GRIT publication schudule!,SHHA Wants Your Thoughts on GRIT Publication Schedule!
74,Mail Theft,Mail Theft
75,New Board Candidates Biographies,New Board Candidates Biographies
76,SHHA Annual Meeting,SHHA Annual Meeting
77,Trash and Recycle Bins,Trash and Recycle Bins
78,To Plow or Not to Plow? Tramway and Snow/Ice,To Plow or Not to Plow? Tramway and Snow/Ice
79,Communications and Publications - What does it do?,Communications and Publications - What Does It Do?
80,Covenant Violation,Covenant Violation
81,Responding to Emergency Situations,Responding to Emergency Situations
82,Mail Theft,Mail Theft
83,Update on the County's Drag Racing Issue,Update on the County's Drag Racing Issue
84,SHHA Annual Meeting,SHHA Annual Meeting
85,Trash and Recycle Bins,Trash and Recycle Bins
86,SHHA 2016 Annual Meeting Officer and Committee Reports,SHHA 2016 Annual Meeting Officer and Committee Reports
87,Sandia Homeowners Backyard Ski Area,Sandia Homeowners Backyard Ski Area
88,BernCo and SHS Report Increase in Mail Theft,BernCo and SHS Report Increase in Mail Theft
89,Bow Hunting in Cibola,Bow Hunting in Cibola
90,A Refresher on the ACC's Neighborhood Review Process,A Refresher on the ACC's Neighborhood Review Process
91,Kudos to John Betak,Kudos to John Betak
92,Communiations & Publication Committee,Communications & Publication Committee
93,Travel Trends for 2016,Travel Trends for 2016
94,Construciton Started to Provide Quicker Access to Paseo for Fire Station #35,Construction Started to Provide Quicker Access to Paseo for Fire Station #35
95,Landscaping and Home Maintenance from the CSC,Landscaping and Home Maintenance from the CSC
96,ABQ Film Shows Dangers of Local Cycling,ABQ Film Shows Dangers of Local Cycling
97,SHHA Secretary Report,SHHA Secretary Report
98,Hawks Landing Development Update,Hawks Landing Development Update
99,Volunteers Needed!,Volunteers Needed!
100,CSC Needs Volunteers,CSC Needs Volunteers
101,Fire Weather Warning,Fire Weather Warning
102,Choosing Your Contractor,Choosing Your Contractor
103,Covenant Support Committee,Covenant Support Committee
104,How to Stop the Door-to-Door Sales People,How to Stop the Door-to-Door Sales People
105,Pedestrian Safety Reminders,Pedestrian Safety Reminders
106,SHHA Secretary Report,SHHA Secretary Report
107,Keep Bears Wild,Keep Bears Wild
108,Mhoon/Hawks Landing Update,Mhoon/Hawks Landing Update
109,Volunteers Needed!,Volunteers Needed!
110,"You, the SHHA, Covenant Enforcement, and Anonymous Complaints","You, the SHHA, Covenant Enforcement, and Anonymous Complaints"
111,Barking Dogs - CSC or BernCo?,Barking Dogs - CSC or BernCo?
112,SHHA wants your thoughts on GRIT Online vs. Printed,SHHA Wants Your Thoughts on GRIT Online vs. Printed
113,Sandia Heights Services Water Conservation Tips,Sandia Heights Services Water Conservation Tips
114,Tips for your Home Remodeling Projects,Tips for Your Home Remodeling Projects
115,Don’t Squash this Bug!,Don’t Squash This Bug!
116,Bernalillo Road Maintenance Services,Bernalillo Road Maintenance Services
117,Storm Drains on County Easements and Streets,Storm Drains on County Easements and Streets
118,BERNCO Commission Adopts Peak Dining and Sandia Peak Ski…,BernCo Commission Adopts Peak Dining and Sandia Peak Ski…
119,Meet and Greet with BERNCO Sherrif Dunlap a Success,Meet and Greet with BernCo Sheriff Dunlap a Success
120,What's Cool in July,What's Cool in July
121,Walking and Cycling on the Tramway Blvd. Bike Path,Walking and Cycling on the Tramway Blvd. Bike Path
122,Good News about Solar Panels,Good News About Solar Panels
123,Be Bear Aware,Be Bear Aware
124,Parks and Safety Committee,Parks and Safety Committee
125,Light Pollution,Light Pollution
126,Emergency and Non-Emergency Upgrades to your Residence,Emergency and Non-Emergency Upgrades to Your Residence
127,Home Security When Traveling,Home Security When Traveling
128,Snakes and You,Snakes and You
129,Update on PNM's Rate Hike Request,Update on PNM's Rate Hike Request
130,Why doesn't the CSC do anything with my complaint?,Why Doesn't the CSC Do Anything with My Complaint?
131,Walking Dogs along the Domingo Baca Arroyo,Walking Dogs Along the Domingo Baca Arroyo
132,SHHA Sewers - 4 Things Not to Put Down the Drain,SHHA Sewers - 4 Things Not to Put Down the Drain
133,Dead Trees - Parks & Safety Committee,Dead Trees - Parks & Safety Committee
134,Day Tour - Tijeras Pueblo and Tourquoise Trail,Day Tour - Tijeras Pueblo and Turquoise Trail
135,A Little Goes a Long Way,A Little Goes a Long Way
136,The Empty Nest - Rooms for Rent,The Empty Nest - Rooms for Rent
137,Back to School Safety Checklist,Back to School Safety Checklist
138,Street Right of Way Maintenance,Street Right of Way Maintenance
139,Fourth of july Canyon Visit,Fourth of July Canyon Visit
140,Volunteers Needed!,Volunteers Needed!
141,Covenant Support Committee (CSC),Covenant Support Committee (CSC)
142,Contractor Evaluations,Contractor Evaluations
143,Don't Let Your Water Pipes Freeze!,Don't Let Your Water Pipes Freeze!
144,Halloween Trick or Treat Reminder,Halloween Trick or Treat Reminder
145,SHHA Security Alert,SHHA Security Alert
146,Second Meet and Greet with Benalillo County Sheriff's…,Second Meet and Greet with Bernalillo County Sheriff's…
147,Trash and Recycle Bins,Trash and Recycle Bins
148,Fall Bear Alert,Fall Bear Alert
149,Special Use Permits and the ACC,Special Use Permits and the ACC
150,Volunteers Needed!,Volunteers Needed!
151,A Tale of Two Covenants,A Tale of Two Covenants
152,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
153,If You are a Responsible Home Owner Do Not Read,"If You Are a Responsible Home Owner, Do Not Read"
154,Bernalillo County Ordinance Regarding Animals,Bernalillo County Ordinance Regarding Animals
155,Roadside Mowing - Before Winter,Roadside Mowing - Before Winter
156,Heat Pump Tips,Heat Pump Tips
157,Rental Property,Rental Property
158,Balloon Fiesta is Gone…and the RV's Should be Gone,Balloon Fiesta is Gone… and the RVs Should Be Gone
159,Welcome New Board Members,Welcome New Board Members
160,Sandia Homeowners Backyard Ski Area,Sandia Homeowners Backyard Ski Area
161,Coventan Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
162,Meet and Greet Success Continues with Captain Kingsbury,Meet and Greet Success Continues with Captain Kingsbury
163,Fall Green Waste Collection,Fall Green Waste Collection
164,Holiday Lighting and Parking,Holiday Lighting and Parking
165,Mail Theft,Mail Theft
166,Security Reminder,Security Reminder
167,Snow Removal,Snow Removal
168,A Letter Form Your Vice President - Bob Bower,A Letter from Your Vice President - Bob Bower
169,SHHA Annual Meeting 2017,SHHA Annual Meeting 2017
170,Parking  ,Parking
171,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
172,Light Reminder,Light Reminder
173,Mail Theft,Mail Theft
174,Odds & Ends from Parks & Safety Committee,Odds & Ends from Parks & Safety Committee
175,Winter Tips for Melting Ice and Snow,Winter Tips for Melting Ice and Snow
176,Trash Cans,Trash Cans
177,Coyotes,Coyotes
178,SHHA Annual Meeting 2017,SHHA Annual Meeting 2017
179,Covenants and Emerging Technologies,Covenants and Emerging Technologies
180,Mail Theft,Mail Theft
181,Living with Bobcats in Sandia Heights,Living with Bobcats in Sandia Heights
182,Annual Reports 2017,Annual Reports 2017
183,Procedures for Property Owners to Amend Their Unit Covenants,Procedures for Property Owners to Amend Their Unit Covenants
184,Procedures for Property Owners to Amend Their Unit Covenants,Procedures for Property Owners to Amend Their Unit Covenants
185,Just Not Enough Time,Just Not Enough Time
186,Gardening in Sandia Heights - Springtime,Gardening in Sandia Heights - Springtime
187,Sandia Heights Lighting,Sandia Heights Lighting
188,Spring Has Sprung,Spring Has Sprung
189,Note from the Vice President,Note from the Vice President
190,Pack Rats - Our Sandia Heights Residents (Part 1),Pack Rats - Our Sandia Heights Residents (Part 1)
191,Architectural Control Committee,Architectural Control Committee
192,Note from the Vice President,Note from the Vice President
193,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
194,Bernco can help with light pollution,Bernco Can Help with Light Pollution
195,Light Pollution,Light Pollution
196,Meet and Greet with Bernalillo County Sheriff's Department,Meet and Greet with Bernalillo County Sheriff's Department
197,Ten Tips for Walking in Sandia Heights,Ten Tips for Walking in Sandia Heights
198,Portable Storage Containers,Portable Storage Containers
199,Attention all Sandia Heights Residents!,Attention All Sandia Heights Residents!
200,There is No Poop Fairy,There Is No Poop Fairy
201,Room Rental,Room Rental
202,Summer is Here,Summer Is Here
203,How to Increase Secruity in your Unit - Create a Neighborhood Watch!,How to Increase Security in Your Unit - Create a Neighborhood Watch!
204,Smoke Alarms and Carbon Monoxide Detectors,Smoke Alarms and Carbon Monoxide Detectors
205,Help Us Help You!,Help Us Help You!
206,Parliamentary Pointers for Effective Meetings,Parliamentary Pointers for Effective Meetings
207,Pack Rats - Our Sandia Heights Residents (Part 2 - Destroying the Nests),Pack Rats - Our Sandia Heights Residents (Part 2 - Destroying the Nests)
208,Bernalillo County Road Maintenance Services,Bernalillo County Road Maintenance Services
209,Weeds and RVs,Weeds and RVs
210,Joint SHHA/SHS Statement on Outdoor Lighting,Joint SHHA/SHS Statement on Outdoor Lighting
211,Safety in Sandia Heights,Safety in Sandia Heights
212,Living with Bears,Living with Bears
213,Fourth of July Neighborhood Parade,Fourth of July Neighborhood Parade
214,Help Us Help You!,Help Us Help You!
215,Keep Your Trees Healthy!,Keep Your Trees Healthy!
216,Room Rental,Room Rental
217,Construction Courtesy & Safety in Sandia Heights,Construction Courtesy & Safety in Sandia Heights
218,Note from the President: First in a Series,Note from the President: First in a Series
219,Choosing Your Contractor,Choosing Your Contractor
220,New Color Reference to Better Meet Your Needs!,New Color Reference to Better Meet Your Needs!
221,Questions and Answers about Your Covenants,Questions and Answers About Your Covenants
222,Policies for Member Feedback,Policies for Member Feedback
223,Note from the President: Second in a Series,Note from the President: Second in a Series
224,What is a Single Family?,What Is a Single Family?
225,Drones  ,Drones
226,Wanted: New Chair for Communications and Publications Committee,Wanted: New Chair for Communications and Publications Committee
227,Note from the President: Third in a Series,Note from the President: Third in a Series
228,Another Perspective on the Attempted Domestication of Wild Animals,Another Perspective on the Attempted Domestication of Wild Animals
229,Review of How the Architectural Control Committee (ACC) Works,Review of How the Architectural Control Committee (ACC) Works
230,Dying Pinons in Sandia Heights,Dying Piñons in Sandia Heights
231,Weeds and Landscaping,Weeds and Landscaping
232,Don't Let Your Water Pipes Freeze!,Don't Let Your Water Pipes Freeze!
233,Don't be a Turkey,Don't Be a Turkey
234,New Secutiry Signs Posted in Sandia Heights,New Security Signs Posted in Sandia Heights
235,Note from the President: Fourth in a Series,Note from the President: Fourth in a Series
236,SHHA is not a Property Manager,SHHA Is Not a Property Manager
237,We Want to Hear From You!,We Want to Hear from You!
238,We Want to Hear From You!,We Want to Hear from You!
239,"Receiving Too Much ""Junk""?","Receiving Too Much ""Junk""?"
240,"Trailers, Boats, RVs, and Commercial Trucks?","Trailers, Boats, RVs, and Commercial Trucks?"
241,BernCo Will Install Smoke Detectors…FREE,BernCo Will Install Smoke Detectors…Free
242,Holiday Lighting Safety Tips,Holiday Lighting Safety Tips
243,How to Really Enjoy Our Wonderful Fall Temperatures,How to Really Enjoy Our Wonderful Fall Temperatures
244,Welcome New SHHA Board Members!,Welcome New SHHA Board Members!
245,Trash Cans,Trash Cans
246,Beware: Don’t Use Rodent Poison on Your Property,Beware: Don’t Use Rodent Poison on Your Property
247,Summary of ACC Articles Published in 2017,Summary of ACC Articles Published in 2017
248,Start the New Year with a New Mexico Recipe Tradition,Start the New Year with a New Mexico Recipe Tradition
249,CSC Legal Action,CSC Legal Action
251,Not Your Father's SHHA Annual Meeting,Not Your Father's SHHA Annual Meeting
252,Trash Cans,Trash Cans
253,White Roofs in Sandia Heights,White Roofs in Sandia Heights
254,2018 SHHA Annual Meeting,2018 SHHA Annual Meeting
255,Emergency Road and Winter Operation Procedures for 2018,Emergency Road and Winter Operation Procedures for 2018
256,Sandia Peak Tramway Pass Procedure for SHHA Homeowner Members,Sandia Peak Tramway Pass Procedure for SHHA Homeowner Members
257,CSC Covenant Reminder,CSC Covenant Reminder
258,"Looking Good, Sandia Heights!","Looking Good, Sandia Heights!"
259,GRIT Needs More Community Specific Information,GRIT Needs More Community Specific Information
260,Annual Reports  2018,Annual Reports 2018
261,"File a Bernalillo County Complaint Online, by Phone, or In-Person","File a Bernalillo County Complaint Online, by Phone, or In-Person"
262,Drones: An Update,Drones: An Update
263,Wildfire Preparedness,Wildfire Preparedness
264,You Can Increase Security in Your Neighborhood by Forming…,You Can Increase Security in Your Neighborhood by Forming…
265,An Additional Call for Volunteers,An Additional Call for Volunteers
266,An Evacuation Plan for Sandia Heights - Looking for Volunteers!,An Evacuation Plan for Sandia Heights - Looking for Volunteers!
267,Are We Ready for the Conflagration?,Are We Ready for the Conflagration?
268,Open Burning Ban for Unincorporated Bernalillo County,Open Burning Ban for Unincorporated Bernalillo County
269,Speeding in Sandia Heights - an Object Lesson,Speeding in Sandia Heights - An Object Lesson
270,Message from the President,Message from the President
271,Sandia Heights Community Event - Tramway Trash Cleanup,Sandia Heights Community Event - Tramway Trash Cleanup
272,Water Conservation & Restrictions,Water Conservation & Restrictions
273,Community Services & Membership Committee Survey Coming,Community Services & Membership Committee Survey Coming
274,Dead Tree Cutting & Removal,Dead Tree Cutting & Removal
275,Fireworks are Prohibited in Sandia Heights,Fireworks Are Prohibited in Sandia Heights
276,GRIT in Living Color,GRIT in Living Color
277,Sandia Heights Lighting,Sandia Heights Lighting
278,"Tips on Draining Swimming Pools, Etc.","Tips on Draining Swimming Pools, Etc."
279,Summer is Here,Summer Is Here
280,Keep Bears Wild and Co-Existing with Sandia Heights Wildlife,Keep Bears Wild and Co-Existing with Sandia Heights Wildlife
281,Storm Drains on County Easements and Streets,Storm Drains on County Easements and Streets
282,BernCo Commission Further Restricts Fireworks,BernCo Commission Further Restricts Fireworks
283,Close Call for Sandia Heights - Wildfire in High Desert,Close Call for Sandia Heights - Wildfire in High Desert
284,Notes From the Sandia Heights Volunteer Fire Dep. (reprint from  May 1983),Notes from the Sandia Heights Volunteer Fire Dep. (Reprint from May 1983)
285,Wildfire Preparedness - An Overview,Wildfire Preparedness - An Overview
286,Community Survey is Very Positive!,Community Survey Is Very Positive!
287,"Being a Good Neighbor, Dogs & Cats Edition","Being a Good Neighbor, Dogs & Cats Edition"
288,Tramway Trash Cleanup,Tramway Trash Cleanup
289,Sign of the Times,Sign of the Times
290,Third Nearby Wildfire of the Summer,Third Nearby Wildfire of the Summer
291,"Wildfire Preparedness, How to Protect Your Property","Wildfire Preparedness, How to Protect Your Property"
292,Use Care Choosing Locksmiths,Use Care Choosing Locksmiths
293,Back-to-School Safety Checklist,Back-to-School Safety Checklist
294,Sandia Heights Community Event - Tramway Trash Cleanup,Sandia Heights Community Event - Tramway Trash Cleanup
295,BernCo Code for Prohibited Uses in a Single-Family Residential Zone,BernCo Code for Prohibited Uses in a Single-Family Residential Zone
296,Keep Sandia Heights Looking Good,Keep Sandia Heights Looking Good
297,"Herbs - Fragrant, Tasty & Beautiful","Herbs - Fragrant, Tasty & Beautiful"
298,Stables Changing a Lot More Than Its Name (reprint from Sep. 1979),Stables Changing a Lot More Than Its Name (Reprint from Sep. 1979)
299,Choosing Your Contractor,Choosing Your Contractor
300,Shadow Knows,Shadow Knows
301,Tramway Trash Cleanup,Tramway Trash Cleanup
302,Please Do Not Feed Wildlife,Please Do Not Feed Wildlife
303,New Neighbors Soon,New Neighbors Soon
304,"Sandia Heights' Beautiful, Dark Skies","Sandia Heights' Beautiful, Dark Skies"
305,"Wildfire Preparedness: The ""Go Bag""","Wildfire Preparedness: The ""Go Bag"""
306,Friendly Reminder About RVs,Friendly Reminder About RVs
307,Kudos and Thanks!,Kudos and Thanks!
308,Wilfire Risk Reduction Project,Wildfire Risk Reduction Project
309,Goatscaping,Goatscaping
310,Our Backyard Antenna Farm,Our Backyard Antenna Farm
311,Sandia Heights Reminiscences,Sandia Heights Reminiscences
313,Pay it Forward,Pay It Forward
314,"Small Wins, but Big Improvements","Small Wins, but Big Improvements"
315,Some Ways to Give Back,Some Ways to Give Back
316,Tramway in Days Gone By,Tramway in Days Gone By
317,Don't Let Your Water Pipes Freeze!,Don't Let Your Water Pipes Freeze!
318,Living with Our Arroyos,Living with Our Arroyos
319,Holiday Lighting & Parking Reminder,Holiday Lighting & Parking Reminder
320,Trash Cans,Trash Cans
321,2018 Annual Meeting Netted Results,2018 Annual Meeting Netted Results
322,New Neighborhood Business,New Neighborhood Business
323,"You, the SHHA, Covenant Enforcement","You, the SHHA, Covenant Enforcement"
324,"Happy Birthday, GRIT?","Happy Birthday, GRIT?"
325,Sandia Heights Posted Speed Limits,Sandia Heights Posted Speed Limits
326,Architectural Control Committee's Neighborhood Review Process,Architectural Control Committee's Neighborhood Review Process
327,Did You Know that Bernalillo County Has a Noise Ordinance?,Did You Know That Bernalillo County Has a Noise Ordinance?
328,Social Media Survey Results,Social Media Survey Results
329,Successful Goatscaping Trial for Wildfire Reduction,Successful Goatscaping Trial for Wildfire Reduction
330,"33 Years Ago, Homeowner Survey Results (reprinted from 1986)","33 Years Ago, Homeowner Survey Results (Reprinted from 1986)"
331,Security Tips,Security Tips
332,Renters and Membership Benefits,Renters and Membership Benefits
333,SHHA Homeowner Members can Log onto the SHHA Website,SHHA Homeowner Members Can Log onto the SHHA Website
334,Annual Reports from 2019 Annual Meeting,Annual Reports from 2019 Annual Meeting
335,Discussion of Walls and Fences,Discussion of Walls and Fences
336,"From the Parks & Safety Committee: You Asked, We Answered","From the Parks & Safety Committee: You Asked, We Answered"
337,New Peak Restaurant Update,New Peak Restaurant Update
338,Elena Gallegos Open Space,Elena Gallegos Open Space
339,Weed and Fire Season is Approaching,Weed and Fire Season Is Approaching
340,Answers to Questions from the 2019 Annual Meeting,Answers to Questions from the 2019 Annual Meeting
341,"Outpost Ice Arena - New Owner, Big Changes","Outpost Ice Arena - New Owner, Big Changes"
342,Fire Prevention Seminar,Fire Prevention Seminar
343,Summary of 2019 Fire Risk Management Seminar (Part 1),Summary of 2019 Fire Risk Management Seminar (Part 1)
344,Choice Plants and Rabbit Food (reprinted from 1989),Choice Plants and Rabbit Food (Reprinted from 1989)
345,Light Talk,Light Talk
346,Preliminary and Final Design and Construction Plans,Preliminary and Final Design and Construction Plans
347,2019 Easter Egg Hunt,2019 Easter Egg Hunt
348,Update on W.L. Jacson Park,Update on W.L. Jacson Park
349,Summary of 2019 Fire Risk Management Seminar (Part 2),Summary of 2019 Fire Risk Management Seminar (Part 2)
350,Elm Trees,Elm Trees
351,"Avoid Paving ""Travelers""","Avoid Paving ""Travelers"""
352,Neighbors United Against Crime,Neighbors United Against Crime
353,Review of How the Architectural Control Committee (ACC) Works,Review of How the Architectural Control Committee (ACC) Works
354,Community Services and Membership Committee's 2019 Survey,Community Services and Membership Committee's 2019 Survey
355,Reminders from Your Covenant Support Committee,Reminders from Your Covenant Support Committee
356,Woof! Woof! Is that YOUR Dog Barking?,Woof! Woof! Is That YOUR Dog Barking?
357,Brush Fire in Foothills at Bear Canyon,Brush Fire in Foothills at Bear Canyon
358,No Fireworks in Sandia Heights - EVER!,No Fireworks in Sandia Heights - EVER!
359,Goats of Sandia Heights,Goats of Sandia Heights
360,Construction Courtesy & Safety in Sandia Heights,Construction Courtesy & Safety in Sandia Heights
361,Neighbors United Against Crime (Part 2),Neighbors United Against Crime (Part 2)
362,It's Summer and Snakes are Out,It's Summer and Snakes Are Out
363,Have you used a contractor lately?,Have You Used a Contractor Lately?
364,Septic System Tips,Septic System Tips
365,SHHA's Board of Directors Needs YOU!,SHHA's Board of Directors Needs YOU!
366,Garbage Cans Are an Eyesore!,Garbage Cans Are an Eyesore!
367,Some Pointers About Hantavirus,Some Pointers About Hantavirus
368,It's Chili Harvest Time,It's Chili Harvest Time
369,Ten3 Restaurant is Open!,Ten3 Restaurant Is Open!
370,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
371,"Not Too Big, Not Too Small (Historical article from April 1989)","Not Too Big, Not Too Small (Historical Article from April 1989)"
372,Contractors in Sandia Heights,Contractors in Sandia Heights
373,SHHA's Clock is Ticking…,SHHA's Clock Is Ticking…
374,Fall Bear Alert,Fall Bear Alert
375,Bobcats,Bobcats
376,Community Survey 2019 is Again Very Positive,Community Survey 2019 Is Again Very Positive
377,Tram Pass Price Increase,Tram Pass Price Increase
378,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
379,Halloween Safety Tips,Halloween Safety Tips
380,Responding to Home Emergency Situations,Responding to Home Emergency Situations
381,Your Dues are How Much?,Your Dues Are How Much?
382,Keep Our Sandia Bears Safe!,Keep Our Sandia Bears Safe!
383,Changes Coming to the Quail Run Center,Changes Coming to the Quail Run Center
384,Light Pollution (Historical article from 2013),Light Pollution (Historical Article from 2013)
385,Don't Let Your Water Pipes Freeze!,Don't Let Your Water Pipes Freeze!
386,Speeding on Neighborhood Streets,Speeding on Neighborhood Streets
387,Thank You to Trash Pick-up Volunteers,Thank You to Trash Pick-Up Volunteers
388,Bagworms,Bagworms
389,Sandia Heights New Neighbors Welcoming Initiative,Sandia Heights New Neighbors Welcoming Initiative
390,Holiday Parking & Lighting Safety Tips,Holiday Parking & Lighting Safety Tips
391,How to Form a Neighborhood Watch,How to Form a Neighborhood Watch
392,Beep! Beep! (Historical article 1990),Beep! Beep! (Historical Article 1990)
393,Summary of Architectural Control Committee Articles Published in 2019,Summary of Architectural Control Committee Articles Published in 2019
394,Food Recycling Service Now Available in Sandia Heights,Food Recycling Service Now Available in Sandia Heights
395,Covenant Support Committee (CSC) Needs Volunteers,Covenant Support Committee (CSC) Needs Volunteers
396,"You, the SHHA, Covenant Enforcement, & Anonymous Complaints","You, the SHHA, Covenant Enforcement, & Anonymous Complaints"
397,Nitty Gritty on The GRIT (Historical article from 1999),Nitty Gritty on The GRIT (Historical Article from 1999)
398,Sandia Peak Ski Area & Ski History,Sandia Peak Ski Area & Ski History
399,SHHA Office Has Moved!,SHHA Office Has Moved!
400,Agenda for 2020 Annual Meeting,Agenda for 2020 Annual Meeting
401,Number of Children Residing in Sandia Heights,Number of Children Residing in Sandia Heights
402,Reminders from Your Covenant Support Committee,Reminders from Your Covenant Support Committee
403,40 Years Ago: Sandia Heights - Its Concepts and Development,40 Years Ago: Sandia Heights - Its Concepts and Development
404,Bow Hunting in Sandia Ranger District,Bow Hunting in Sandia Ranger District
405,Safety First on Sandia Heights' Streets!,Safety First on Sandia Heights' Streets!
406,Grey Water Systems,Grey Water Systems
407,2020 Reports of Standing Committees,2020 Reports of Standing Committees
408,Reports from the [2020] ShHA Annual Meeting,Reports from the [2020] SHHA Annual Meeting
409,SHHA Bylaws - Purpose/Objective/Mission,SHHA Bylaws - Purpose/Objective/Mission
410,Review of the ACC's Neighborhood Review Process,Review of the ACC's Neighborhood Review Process
411,Questions from the Annual Meeting,Questions from the Annual Meeting
412,Great American Game,Great American Game
413,Dog Poop Trivia,Dog Poop Trivia
414,Dogs Should be Leassed - Here's Why,Dogs Should Be Leashed - Here's Why
415,Invasive Trees in Sandia Heights,Invasive Trees in Sandia Heights
416,Outdoor Lighting Joint SHHA/SHS Statement,Outdoor Lighting Joint SHHA/SHS Statement
417,Responsibilities of the SHHA,Responsibilities of the SHHA
418,Watch Out for Deer,Watch Out for Deer
419,Coronavirus News,Coronavirus News
420,PNM Substation  ,PNM Substation
