Title,First Author,~Relevant Committee,TOPIC,Year,Month,Month(alpha)
How to Stop the Door-to-Door Sales People,Editor,E&S,SAFETY/SECURITY,2016,5,MAY
Pedestrian Safety Reminders,E&S,E&S,SAFETY/SECURITY,2016,5,MAY
SHHASecretary Report,George Connor,SHHA,SHHA,2016,5,MAY
Keep Bears Wild,Dave Mottle,E&S,WILDLIFE(BEARS),2016,5,MAY
Mhoon/Hawks Landing Update,Editor,C&P,COMMUNITY,2016,6,JUN
Volunteers Needed!,C&P,C&P,COMMUNITY,2016,6,JUN
"You, the SHHA, Covenant Enforcement, and Anonymous Complaints",CSC,CSC,COVENANTS GENERAL,2016,6,JUN
Barking Dogs - CSC or BernCo?,CSC,CSC,DOGS/PETS,2016,6,JUN
SHHAwants your thoughts on GRIT Online vs. Printed,Cindy Mottle,C&P,GRIT,2016,6,JUN
Sandia Heights Services Water Conservation Tips,Editor,Architectural Control Committee,PROPERTY MAINT,2016,6,JUN
Tips for your Home Remodeling Projects,Bob Bower,Architectural Control Committee,PROPERTY MAINT,2016,6,JUN
Don’t Squash this Bug!,Editor,E&S,WILDLIFE(INSECTS/SPIDERS),2016,6,JUN
Bernalillo Road Maintenance Services,Editor,E&S,BERNCO(ROADS),2016,7,JUL
Storm Drains on County Easements and Streets,Dave Mottle,E&S,BERNCO(ROADS),2016,7,JUL
BERNCO Commission Adopts Peak Dining and Sandia Peak Ski…,Editor,SHHA,SHHA,2016,7,JUL
Meet and Greet with BERNCO Sherrif Dunlap a Success,Editor,SHHA,SHHA,2016,7,JUL
What's Cool in July,Editor,C&P,COMMUNITY,2016,7,JUL
Walking and Cycling on the Tramway Blvd. Bike Path,Anne Manning,C&P,SAFETY/SECURITY,2016,7,JUL
Good News about Solar Panels,Odile de la Beaujardiere,Architectural Control Committee,SOLAR,2016,7,JUL
Be Bear Aware,Editor,E&S,WILDLIFE(BEARS),2016,7,JUL
Parks and Safety Committee,George Connor,E&S,COMMUNITY,2016,8,AUG
Light Pollution,CSC,CSC,OUTDOOR LIGHTS,2016,8,AUG
Emergency and Non-Emergency Upgrades to your Residence,Bob Bower,Architectural Control Committee,PROPERTY MAINT,2016,8,AUG
Home Security When Traveling,Editor,E&S,SAFETY/SECURITY,2016,8,AUG
Snakes and You,Dave Mottle,E&S,WILDLIFE(SNAKES/REPTILES),2016,8,AUG
Update on PNM's Rate Hike Request,Bob Bower,Architectural Control Committee,Architectural Control Committee,2016,9,SEP
Why doesn't the CSC do anything with my complaint?,Dick Wavrik,CSC,COVENANTS GENERAL,2016,9,SEP
Walking Dogs along the Domingo Baca Arroyo,Editor,E&S,DOGS/PETS,2016,9,SEP
SHHASewers - 4 Things Not to Put Down the Drain,Architectural Control Committee,Architectural Control Committee,ENVIRONMENT,2016,9,SEP
Dead Trees - Parks & Safety Committee,E&S,E&S,FIRE,2016,9,SEP
Day Tour - Tijeras Pueblo and Tourquoise Trail,Editor,C&P,HISTORY/ARCHAEOLOGY,2016,9,SEP
A Little Goes a Long Way,CSC,CSC,OUTDOOR LIGHTS,2016,9,SEP
The Empty Nest - Rooms for Rent,CSC,CSC,RENTALS,2016,9,SEP
Back to School Safety Checklist,Editor,E&S,SAFETY/SECURITY,2016,9,SEP
Street Right of Way Maintenance,Editor,E&S,BERNCO(ROADS),2016,10,OCT
Fourth of july Canyon Visit,Editor,C&P,COMMUNITY,2016,10,OCT
Volunteers Needed!,C&P,C&P,COMMUNITY,2016,10,OCT
Covenant Support Committee (CSC),Dick Wavrick,CSC,COVENANTS GENERAL,2016,10,OCT
Contractor Evaluations,SHHA,Architectural Control Committee,PROPERTY MAINT,2016,10,OCT
Don't Let Your Water Pipes Freeze!,Bob Bower,Architectural Control Committee,PROPERTY MAINT,2016,10,OCT
Halloween Trick or Treat Reminder,E&S,E&S,SAFETY/SECURITY,2016,10,OCT
SHHASecurity Alert,SHHA,E&S,SAFETY/SECURITY,2016,10,OCT
Second Meet and Greet with Benalillo County Sheriff's…,Editor,SHHA,SHHA,2016,10,OCT
Trash and Recycle Bins,CSC,CSC,TRASH BINS,2016,10,OCT
Fall Bear Alert,E&S,E&S,WILDLIFE(BEARS),2016,10,OCT
Special Use Permits and the Architectural Control Committee,Bob Bower,Architectural Control Committee,Architectural Control Committee,2016,11,NOV
Volunteers Needed!,C&P,C&P,COMMUNITY,2016,11,NOV
A Tale of Two Covenants,Dick Wavrik,CSC,COVENANTS GENERAL,2016,11,NOV
Covenant Support Committee (CSC) Needs Volunteers,CSC,CSC,COVENANTS GENERAL,2016,11,NOV
If You are a Responsible Home Owner Do Not Read,Dick Wavrik,CSC,COVENANTS GENERAL,2016,11,NOV
Bernalillo County Ordinance Regarding Animals,E&S,E&S,DOGS/PETS,2016,11,NOV
Roadside Mowing - Before Winter,E&S,E&S,ENVIRONMENT,2016,11,NOV
Heat Pump Tips,Architectural Control Committee,Architectural Control Committee,PROPERTY MAINT,2016,11,NOV
Rental Property,CSC,CSC,RENTALS,2016,11,NOV
Balloon Fiesta is Gone…and the RV's Should be Gone,CSC,CSC,RVs/BOATS,2016,11,NOV
Welcome New Board Members,Editor,SHHA,SHHA,2016,11,NOV
Sandia Homeowners Backyard Ski Area,Burt O'Neil,C&P,COMMUNITY,2016,12,DEC
Coventan Support Committee (CSC) Needs Volunteers,CSC,CSC,COVENANTS GENERAL,2016,12,DEC
Meet and Greet Success Continues with Captain Kingsbury,Editor,C&P,COMMUNITY,2016,12,DEC
Fall Green Waste Collection,Editor,E&S,ENVIRONMENT,2016,12,DEC
Holiday Lighting and Parking,Dick Wavrick,CSC,SAFETY/SECURITY,2016,12,DEC
Mail Theft,Editor,E&S,SAFETY/SECURITY,2016,12,DEC
Security Reminder,Editor,E&S,SAFETY/SECURITY,2016,12,DEC
Snow Removal,Editor,E&S,SAFETY/SECURITY,2016,12,DEC
A Letter Form Your Vice President - Bob Bower,Bob Bower,SHHA,SHHA,2016,12,DEC
